libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzen 0.4.39-1
licenses 20200427-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lightdm-gtk-greeter-settings 1.2.2-6
linux 5.13.12.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210818.c46b8c3-1
linux-headers 5.13.12.arch1-1
llvm-libs 12.0.1-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lsof 4.94.0-1
lua51 5.1.5-9
lua52 5.2.4-5
luajit 2.0.5-3
lvm2 2.03.13-1
lxappearance 0.6.3-4
lynx 2.8.9-4
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-1
make 4.3-3
man-db 2.9.4-2
md4c 0.4.8-1
mdadm 4.1-2
mediainfo 21.03-1
mesa 21.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20201225-1
mp3info 0.8.5a-8
mpc 0.33-3
mpd 0.22.10-1
mpfr 4.1.0.p13-1
mpg123 1.28.2-1
mpv 1:0.33.1-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mtools 1:4.0.35-1
mujs 1.1.3-1
ncmpcpp 0.9.2-3
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neovim 0.5.0-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
newsboat 2.24-2
nftables 1:1.0.0-1
nitrogen 1.6.1-3
nm-connection-editor 1.24.0-1
noto-fonts-emoji 20210625-1
npth 1.6-3
nspr 4.32-1
nss 3.69-1
ntfs-3g 2017.3.23-5
numactl 2.0.14-1
openal 1.21.1-1
openbsd-netcat 1.217_2-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.6p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
osinfo-db 20210531-1
p11-kit 0.24.0-1
p7zip 1:17.04-1
pacman 6.0.0-5
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210808-1
pahole 1.21-1
pam 1.5.1-1
pambase 20210605-2
pamixer 1.4-6
pango 1:1.48.9-1
pangomm 2.46.1-2
papirus-icon-theme 20210802-2
parted 3.4-2
paru 1.8.2-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
phodav 2.5-1
picom 8.2-1
pinentry 1.1.1-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.119-1
polkit-gnome 0.105-8
poppler 21.08.0-1
popt 1.18-1
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulsemixer 1.5.1-2
python 3.9.6-1
python-appdirs 1.4.4-3
python-attrs 21.2.0-1
python-cairo 1.20.0-3
python-chardet 4.0.0-2
python-configobj 5.0.6.r110.g3e2f4cc-1
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-gobject 3.40.1-1
python-greenlet 1.1.1-1
python-idna 3.2-1
python-markdown 3.3.4-1
python-more-itertools 8.8.0-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pillow 8.3.1-1
python-psutil 5.8.0-1
python-pynvim 0.4.3-1
python-pyparsing 2.4.7-3
python-requests 2.26.0-1
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-urllib3 1.26.6-1
python-xlib 0.31-1
qemu 6.0.0-3
qpdf 10.3.2-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r215-2
qt5-svg 5.15.2+kde+r7-1
qt5-x11extras 5.15.2-1
qt5ct 1.3-1
quazip 1.1-1
ranger 1.9.3-3
rav1e 0.4.1-1
raw-thumbnailer 0.2.1-7
readline 8.1.001-1
redshift 1.12-4
rest 0.8.1-3
rhash 1.4.2-1
rtkit 0.13-1
rubberband 1.9.2-1
run-parts 4.11.2-1
rust 1:1.54.0-1
sbc 1.5-2
sdl2 2.0.16-2
seabios 1.14.0-1
sed 4.8-1
shaderc 2021.1-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
slock 1.4-5
slop 7.5-5
smbclient 4.14.6-1
snappy 1.1.9-1
sound-theme-freedesktop 0.8-4
speedtest-cli 2.1.3-1
